Section,SubSection,Action,DedupeKey
CAMERA,COCKPIT CAMERA,ZOOM COCKPIT VIEW,
CAMERA,COCKPIT CAMERA,ZOOM COCKPIT (LOCKABLE),
CAMERA,COCKPIT CAMERA,VFR PILOT VIEW SAVE,
CAMERA,COCKPIT CAMERA,VFR PILOT VIEW RESET,
CAMERA,COCKPIT CAMERA,UNZOOM COCKPIT VIEW,
CAMERA,COCKPIT CAMERA,UNZOOM COCKPIT (LOCKABLE),
CAMERA,COCKPIT CAMERA,TRANSLATE COCKPIT VIEW RIGHT,
CAMERA,COCKPIT CAMERA,TRANSLATE COCKPIT VIEW LEFT,
CAMERA,COCKPIT CAMERA,TRANSLATE COCKPIT VIEW FORWARD,
CAMERA,COCKPIT CAMERA,TRANSLATE COCKPIT VIEW BACKWARD,
CAMERA,COCKPIT CAMERA,TOGGLE VFR COCKPIT MODE (HOLD),
CAMERA,COCKPIT CAMERA,TOGGLE VFR COCKPIT MODE,
CAMERA,COCKPIT CAMERA,TOGGLE SMART CAMERA,
CAMERA,COCKPIT CAMERA,TOGGLE LANDING COCKPIT MODE (HOLD),
CAMERA,COCKPIT CAMERA,TOGGLE LANDING COCKPIT MODE,
CAMERA,COCKPIT CAMERA,TOGGLE IFR COCKPIT MODE (HOLD),
CAMERA,COCKPIT CAMERA,TOGGLE IFR COCKPIT MODE,
CAMERA,COCKPIT CAMERA,TOGGLE HUD VIEW,
CAMERA,COCKPIT CAMERA,TOGGLE COPILOT VIEW,
CAMERA,COCKPIT CAMERA,TOGGLE COCKPIT VIEW FREELOOK (HOLD),
CAMERA,COCKPIT CAMERA,TOGGLE COCKPIT VIEW,
CAMERA,COCKPIT CAMERA,TOGGLE COCKPIT FREELOOK,
CAMERA,COCKPIT CAMERA,TOGGLE COCKPIT FOCUS MODE,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 9,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 8,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 7,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 6,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 5,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 4,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 3,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 2,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 1,
CAMERA,COCKPIT CAMERA,SAVE CUSTOM CAMERA 0,
CAMERA,COCKPIT CAMERA,RESET COCKPIT VIEW,
CAMERA,COCKPIT CAMERA,PREVIOUS PILOT POSITION,
CAMERA,COCKPIT CAMERA,NEXT PILOT POSITION,
CAMERA,COCKPIT CAMERA,LOAD PREVIOUS CUSTOM CAMERA,
CAMERA,COCKPIT CAMERA,LOAD NEXT CUSTOM CAMERA,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 9,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 8,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 7,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 6,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 5,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 4,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 3,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 2,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 1,
CAMERA,COCKPIT CAMERA,LOAD CUSTOM CAMERA 0,
CAMERA,COCKPIT CAMERA,LANDING PILOT VIEW SAVE,
CAMERA,COCKPIT CAMERA,LANDING PILOT VIEW RESET,
CAMERA,COCKPIT CAMERA,INCREASE COCKPIT VIEW HEIGHT,
CAMERA,COCKPIT CAMERA,IFR PILOT VIEW SAVE,
CAMERA,COCKPIT CAMERA,IFR PILOT VIEW RESET,
CAMERA,COCKPIT CAMERA,HOLD HUD VIEW,
CAMERA,COCKPIT CAMERA,HOLD COPILOT VIEW,
CAMERA,COCKPIT CAMERA,DECREASE COCKPIT VIEW HEIGHT,
CAMERA,COCKPIT CAMERA,COCKPIT VIEW ZOOM AXIS (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT VIEW ZOOM AXIS,
CAMERA,COCKPIT CAMERA,COCKPIT VIEW Z TRANSLATION AXIS (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT VIEW Z TRANSLATION AXIS,
CAMERA,COCKPIT CAMERA,COCKPIT VIEW YAW AXIS (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT VIEW YAW AXIS,
CAMERA,COCKPIT CAMERA,COCKPIT VIEW Y TRANSLATION AXIS (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT VIEW Y TRANSLATION AXIS,
CAMERA,COCKPIT CAMERA,COCKPIT VIEW X TRANSLATION AXIS (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT VIEW X TRANSLATION AXIS,
CAMERA,COCKPIT CAMERA,COCKPIT VIEW UPPER,
CAMERA,COCKPIT CAMERA,COCKPIT VIEW QUICKVIEW CYCLE,
CAMERA,COCKPIT CAMERA,COCKPIT VIEW PITCH AXIS (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT VIEW PITCH AXIS,
CAMERA,COCKPIT CAMERA,COCKPIT QUICKVIEW UP,
CAMERA,COCKPIT CAMERA,COCKPIT QUICKVIEW RIGHT,
CAMERA,COCKPIT CAMERA,COCKPIT QUICKVIEW REAR,
CAMERA,COCKPIT CAMERA,COCKPIT QUICKVIEW LEFT,
CAMERA,COCKPIT CAMERA,COCKPIT QUICKVIEW 45° RIGHT,
CAMERA,COCKPIT CAMERA,COCKPIT QUICKVIEW 45° LEFT,
CAMERA,COCKPIT CAMERA,COCKPIT QUICKVIEW 120° RIGHT,
CAMERA,COCKPIT CAMERA,COCKPIT QUICKVIEW 120° LEFT,
CAMERA,COCKPIT CAMERA,COCKPIT LOOK UP RIGHT (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT LOOK UP RIGHT,
CAMERA,COCKPIT CAMERA,COCKPIT LOOK UP LEFT (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT LOOK UP LEFT,
CAMERA,COCKPIT CAMERA,COCKPIT LOOK UP (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT LOOK UP,
CAMERA,COCKPIT CAMERA,COCKPIT LOOK RIGHT (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT LOOK RIGHT,
CAMERA,COCKPIT CAMERA,COCKPIT LOOK LEFT (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT LOOK LEFT,
CAMERA,COCKPIT CAMERA,COCKPIT LOOK DOWN RIGHT (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT LOOK DOWN RIGHT,
CAMERA,COCKPIT CAMERA,COCKPIT LOOK DOWN LEFT (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT LOOK DOWN LEFT,
CAMERA,COCKPIT CAMERA,COCKPIT LOOK DOWN (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT LOOK DOWN,
CAMERA,COCKPIT CAMERA,COCKPIT CAMERA SLIDE RIGHT (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT CAMERA SLIDE LEFT (LOCKABLE),
